id,material_name,product_family,industry_level_1,category_level_2,application_level_3,application_function_details,has_variants,tds_found,validation_status,audit,recommendation,variant_relationship,related_variants,filename,type,company,brand,dosage,shelf_life,concentration,ingredients,packaging,storage_conditions,allergens,appearance,description
30,Ingreva RevaStab MCV,Textra / Revastab Meat & Gelling Blends,Dairy,Cheese & Dairy Systems,Processed Cheese & Dairy Spreads,"Functional dairy texturizer and stabilizer improving dry matter consistency, texture body, and shelf-life stability.",Yes,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Dairy ➔ Cheese & Dairy Systems ➔ Processed Cheese & Dairy Spreads | [TDS Status]: Fully verified against authentic Technical Data Sheet (Ingreva RevaStab MCV.pdf).,Application-Specific Variant (Different Applications),Ingreva RevaStab MC100; Ingreva RevaStab MCG; Revastab MCG; Textra P 105; Textra P106; Textra P 108 AH; Textra P 125; Textra P 204; Textra P105K; Textra P106 R; Textra P106 X; Textra P53; Textra P 103 25 kg; TEXTRA P 104 25 kg; Textra P100; Textra P100 25 kg,Ingreva RevaStab MCV.pdf,Modified Starch,AWA Food Additives,Ingreva,,3 years from date of production,moisture: 6% max; viscosity: 37500 - 70000 mPa.s; pH: 6.81,Methyl cellulose E461,"Paper sacks with polyethylene liner, 25 Kg.",Store in a dry place away from heat and humidity,None declared,,"Modified Starch, used in processed poultry products."
32,NRC 600,NRC 600,Dairy,Cheese & Dairy Systems,Processed Cheese & Dairy Spreads,"Functional dairy texturizer and stabilizer improving dry matter consistency, texture body, and shelf-life stability.",No,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Dairy ➔ Cheese & Dairy Systems ➔ Processed Cheese & Dairy Spreads | [TDS Status]: Fully verified against authentic Technical Data Sheet (NRC 600.pdf).,Single Product,None,NRC 600.pdf,Natural Color Mix,AWA Food Additives,AWA Food Solutions,75 – 100 g per 100 kg of the product,2 years from date of production,moisture: ≤ 6.00%; color value: ≥ 150 E1 cm 1% (505 nm); solubility: Soluble in Water; arsenic: ≤ 1.00 mg/kg; lead: ≤ 1.00 mg/kg,"Hibiscus extract, Vegetable extract","Paper sacks with polyethylene liner, 5 Kg",Store in a dry place away from heat and humidity,None declared,Dark brown powder,"Natural Color Mix, used in meat products - tomato paste."
33,NRC500,NRC500,Dairy,Cheese & Dairy Systems,Processed Cheese & Dairy Spreads,"Functional dairy texturizer and stabilizer improving dry matter consistency, texture body, and shelf-life stability.",No,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Dairy ➔ Cheese & Dairy Systems ➔ Processed Cheese & Dairy Spreads | [TDS Status]: Fully verified against authentic Technical Data Sheet (NRC500.pdf).,Single Product,None,NRC500.pdf,Natural Color Mix,AWA Food Additives,AWA Food Solutions,,2 years from date of production,Moisture (%): ≤ 6.00; Solubility: Soluble in Water; As (mg/kg): ≤ 1.00; Pb (mg/kg): ≤ 1.00,"Red Beet Concentrate, Safflower","Paper sacks with polyethylene liner, 5 Kg",Store in a dry place away from heat and humidity,None declared,Dark brown powder,"Natural Color Mix, used in all food applications."
34,NRC600,NRC600,Dairy,Cheese & Dairy Systems,Processed Cheese & Dairy Spreads,"Functional dairy texturizer and stabilizer improving dry matter consistency, texture body, and shelf-life stability.",No,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Dairy ➔ Cheese & Dairy Systems ➔ Processed Cheese & Dairy Spreads | [TDS Status]: Fully verified against authentic Technical Data Sheet (NRC600.pdf).,Single Product,None,NRC600.pdf,Natural Color Mix,AWA Food Additives,AWA Food Solutions,,2 years from date of production,appearance: Dark Brown Powder; moisture: ≤ 6.00; solubility: Soluble in Water; heavy metals > As: ≤ 1.00 mg/kg; heavy metals > Pb: ≤ 1.00 mg/kg; microbiological > total plate count: Max. 5000 cfu/g; microbiological > total yeasts and molds count: Max. 25 cfu/g; microbiological > coliform: Max. 30 MPN/g,"Hibiscus extract, Vegetable extract","Paper sacks with polyethylene liner, 5 Kg",Store in a dry place away from heat and humidity,None declared,Dark brown powder,"Natural Color Mix, used in meat products, Tomato past."
35,NRE 1400H,NRE 1400H,Dairy,Cheese & Dairy Systems,Processed Cheese & Dairy Spreads,"Functional dairy texturizer and stabilizer improving dry matter consistency, texture body, and shelf-life stability.",No,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Dairy ➔ Cheese & Dairy Systems ➔ Processed Cheese & Dairy Spreads | [TDS Status]: Fully verified against authentic Technical Data Sheet (NRE 1400H.pdf).,Single Product,None,NRE 1400H.pdf,"Blend of Vegetable Red Beet & Safflower Extracts, Erythrosine, and Antioxidant",AWA Food Additives,AWA Food Solutions,25-30g/100kg,2 years,moisture: ≤ 8.00; color intensity: 0.490; arsenic: ≤ 1.00; lead: ≤ 1.00,Erythrosine: E127; Antioxidant: E392,"Paper sacks with polyethylene liner (25, 10, 5Kg)",Store in a dry place away from heat and humidity,,Reddish brown powder,"Blend of Vegetable Red Beet & Safflower Extracts, Erythrosine, and Antioxidant, used in meat products."
36,NRE1400,NRE1400,Dairy,Cheese & Dairy Systems,Processed Cheese & Dairy Spreads,"Functional dairy texturizer and stabilizer improving dry matter consistency, texture body, and shelf-life stability.",No,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Dairy ➔ Cheese & Dairy Systems ➔ Processed Cheese & Dairy Spreads | [TDS Status]: Fully verified against authentic Technical Data Sheet (NRE1400.pdf).,Single Product,None,NRE1400.pdf,"Blend of Vegetable Red Beet & Safflower Extracts, Erythrosine, and Antioxidant",AWA Food Additives,AWA Food Solutions,25-30g/100kg,2 years,appearance: Reddish Brown powder; shade: Red to Pink; moisture(%): ≤8.00; colorintensityat505nm: 0.05gm/1000ml after 0.400:0.480 solution filtration; as(mg/kg): ≤ 1.00; pb(mg/kg): ≤ 1.00,erythrosine e number: E127,"Papersackswith polyethyleneliner25, 10 and 5Kg.",Store in a dry place away from heat and humidity,,Reddish brown powder,"Blend of Vegetable Red Beet & Safflower Extracts, Erythrosine, and Antioxidant, used in meat products."
37,NRE1600,NRE1600,Dairy,Cheese & Dairy Systems,Processed Cheese & Dairy Spreads,"Functional dairy texturizer and stabilizer improving dry matter consistency, texture body, and shelf-life stability.",No,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Dairy ➔ Cheese & Dairy Systems ➔ Processed Cheese & Dairy Spreads | [TDS Status]: Fully verified against authentic Technical Data Sheet (NRE1600.pdf).,Single Product,None,NRE1600.pdf,Food-Grade Red Color,AWA Food Additives,AWA Food Solutions,25-30g/100kg,2 years,Moisture (%): <=8.00; Color intensity at 505 nm: 0.430: 0.510; As (mg/kg): <= 1.00; Pb (mg/kg): <= 1.00,Erythrosine E127; Caramel color E150c,"Paper sacks with polyethylene liner (25, 10 and 5Kg)",Store in a dry place away from heat and humidity,None declared,Red reddish brown powder,"Food-Grade Red Color, used in meat products."
40,Phos 10,Phos 10,Meat & Poultry,Poultry Processing & Sausages,Injected Chicken / Turkey Breasts & Sausages,"Increases muscle protein ionic strength and pH, maximizing brine retention, reducing cooking purge, and enhancing sausage snap.",No,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Meat & Poultry ➔ Poultry Processing & Sausages ➔ Injected Chicken / Turkey Breasts & Sausages | [TDS Status]: Fully verified against authentic Technical Data Sheet (Phos 10_TDS.pdf).,Single Product,None,Phos 10_TDS.pdf,"Sodium Polyphosphates, Sodium Tripolyphosphate",AWA Food Additives,Turkphos,0.3 – 0.5%,2 years,Moisture: Max 3%; pH (1% solution): 8.5 : 10; P O: 56 : 58%; Arsenic: Max. 1 ppm; Lead: Max. 1 ppm; Mercury: Max. 1 ppm; Cadmium: Max. 1 ppm,"Sodium polyphosphates, E452, Sodium Tripolyphosphate, E451","Paper sacks with polyethylene liner, 25 Kg",Should be stored under cool and dry conditions. (protect from humidity),None declared,White powder,"Sodium Polyphosphates, Sodium Tripolyphosphate manufactured by Turkphos, used in meat Products, Meat Emulsions."
41,Phos 11,Phos 11,Meat & Poultry,Poultry Processing & Sausages,Injected Chicken / Turkey Breasts & Sausages,"Increases muscle protein ionic strength and pH, maximizing brine retention, reducing cooking purge, and enhancing sausage snap.",No,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Meat & Poultry ➔ Poultry Processing & Sausages ➔ Injected Chicken / Turkey Breasts & Sausages | [TDS Status]: Fully verified against authentic Technical Data Sheet (Phos 11_TDS.pdf).,Single Product,None,Phos 11_TDS.pdf,Phosphate Blend,AWA Food Additives,Turkphos,0.3 – 0.5%,2 years,Moisture: Max 3%; pH (1% solution): 9.1: 10.2; P O5: 25.6 : 59%,"Sodium diphosphates E450, Sodium Tripolyphosphate E451","Paper sacks with polyethylene liner, 25 Kg","Cool and dry conditions, Protect from humidity",None declared,White powder,"Phosphate Blend manufactured by Turkphos, used in food products."
42,Phos 8,Phos 8,Meat & Poultry,Poultry Processing & Sausages,Injected Chicken / Turkey Breasts & Sausages,"Increases muscle protein ionic strength and pH, maximizing brine retention, reducing cooking purge, and enhancing sausage snap.",No,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Meat & Poultry ➔ Poultry Processing & Sausages ➔ Injected Chicken / Turkey Breasts & Sausages | [TDS Status]: Fully verified against authentic Technical Data Sheet (Phos 8_TDS.PDF).,Single Product,None,Phos 8_TDS.PDF,Sodium Phosphates,AWA Food Additives,Turkphos,0.3 – 0.5%,2 years from date of production,"Moisture: Max 3%, pH(1%solution): 8.2, Heavy Metal Specifications: Arsenic: Max. 1 ppm, Lead: Max. 1 ppm, Mercury: Max. 1 ppm, Cadmium: Max. 1 ppm","Sodium polyphosphates E452, Sodium Tripolyphosphate E451, E450, Sodium diphosphate",Paper sacks with polyethylene liner 25 Kg,Should be stored under cool and dry conditions. (protect from humidity),None declared,White powder,"Sodium Phosphates manufactured by Turkphos, used in meat Products, Meat Emulsions."
43,Phos AC04,Phos AC04,Meat & Poultry,Poultry Processing & Sausages,Injected Chicken / Turkey Breasts & Sausages,"Increases muscle protein ionic strength and pH, maximizing brine retention, reducing cooking purge, and enhancing sausage snap.",No,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Meat & Poultry ➔ Poultry Processing & Sausages ➔ Injected Chicken / Turkey Breasts & Sausages | [TDS Status]: Fully verified against authentic Technical Data Sheet (Phos AC04-TDS.pdf).,Single Product,None,Phos AC04-TDS.pdf,Emulsifying Salt Based On Phosphate,AWA Food Additives,Turkphos,0.1 - 1% calculated on processed raw material,2 years from date of production,pH-shift: -1/-1.5; pH (1% solution): 4 : 4.6; P O: 63.3% ± 1; Moisture: Max 3%,Sodium Orthophosphate E339,Paper sacks with polyethylene liner 25 Kg,Cool and dry conditions (protect from humidity),None declared,White powder,"Emulsifying Salt Based On Phosphate, used in meat products, cheese, bakery."
44,Phos B200,Phos B200,Meat & Poultry,Poultry Processing & Sausages,Injected Chicken / Turkey Breasts & Sausages,"Increases muscle protein ionic strength and pH, maximizing brine retention, reducing cooking purge, and enhancing sausage snap.",No,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Meat & Poultry ➔ Poultry Processing & Sausages ➔ Injected Chicken / Turkey Breasts & Sausages | [TDS Status]: Fully verified against authentic Technical Data Sheet (Phos B200-TDS.pdf).,Single Product,None,Phos B200-TDS.pdf,Emulsifying Salt Based On Phosphate,AWA Food Additives,Turkphos,approx. 2 - 3.5% calculated on processed raw material,2 years from date of production,pH-shift: +0.2/+0.4; Ion exchange capacity: Slight; Creaming action: Very strong; Buffering capacity: Medium strong; Moisture: Max 3%; pH (1% solution): 9.4 ± 0.3; P O: 59.7% ± 1,"Sodium diphosphate E450, Sodium polyphosphates E452",Paper sacks with polyethylene liner 25 Kg.,Should be stored under cool and dry conditions. (protect from humidity),None declared,White powder,"Emulsifying Salt Based On Phosphate, used in production of processed cheese."
45,Phos B250,Phos B250,Meat & Poultry,Poultry Processing & Sausages,Injected Chicken / Turkey Breasts & Sausages,"Increases muscle protein ionic strength and pH, maximizing brine retention, reducing cooking purge, and enhancing sausage snap.",No,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Meat & Poultry ➔ Poultry Processing & Sausages ➔ Injected Chicken / Turkey Breasts & Sausages | [TDS Status]: Fully verified against authentic Technical Data Sheet (Phos B250-TDS.pdf).,Single Product,None,Phos B250-TDS.pdf,Emulsifying Salt Based On Phosphate,AWA Food Additives,Turkphos,approx. 2.5 - 3%,2 years from date of production,pH: 6.8 ± 0.3; Moisture: Max 3%; Ion exchange capacity: Very strong; pH-shift: None; Creaming action: None; Buffering capacity: None,Sodium polyphosphates E452,"Paper sacks with polyethylene liner, 25 Kg","Cool and dry conditions, Protect from humidity",None declared,White powder,"Emulsifying Salt Based On Phosphate, used in processed cheese."
46,Phos B300,Phos B300,Meat & Poultry,Poultry Processing & Sausages,Injected Chicken / Turkey Breasts & Sausages,"Increases muscle protein ionic strength and pH, maximizing brine retention, reducing cooking purge, and enhancing sausage snap.",No,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Meat & Poultry ➔ Poultry Processing & Sausages ➔ Injected Chicken / Turkey Breasts & Sausages | [TDS Status]: Fully verified against authentic Technical Data Sheet (Phos B300-TDS.pdf).,Single Product,None,Phos B300-TDS.pdf,Emulsifying Salt Based On Phosphate,AWA Food Additives,Turkphos,3 - 3.5% calculated on processed raw material,2 years from date of production,"pH-shift: -0.1/-0.2; Ion exchange capacity: Very strong; Buffering capacity: Slight; pH (1% solution): 7.4 ± 0.3; P O: 64% ± 1; Moisture: Max 3% ISO 9001, ISO 14001, ISO 45001, FSSC: V6","Sodium polyphosphates E452, Sodium orthophosphate E339",Paper sacks with polyethylene liner 25 Kg,"Cool and dry conditions, Protect from humidity",None declared,White powder,"Emulsifying Salt Based On Phosphate, used in production of firm processed cheese block sliceable and cuttable elastic block cheese."
47,Phos B350,Phos B350,Meat & Poultry,Poultry Processing & Sausages,Injected Chicken / Turkey Breasts & Sausages,"Increases muscle protein ionic strength and pH, maximizing brine retention, reducing cooking purge, and enhancing sausage snap.",No,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Meat & Poultry ➔ Poultry Processing & Sausages ➔ Injected Chicken / Turkey Breasts & Sausages | [TDS Status]: Fully verified against authentic Technical Data Sheet (Phos B350-TDS.pdf).,Single Product,None,Phos B350-TDS.pdf,Emulsifying Salt,AWA Food Additives,Turkphos,3.5 - 4% calculated on processed raw material,2 years from date of production,pH (1% solution): 7.4 ± 0.3; P O: 61% ± 1; Moisture: Max 3%,"Sodium polyphosphates E452, Sodium diphosphate E450, Calcium phosphate E341, Sodium orthophosphate E339","Paper sacks with polyethylene liner, 25 Kg","Cool and dry conditions, Protect from humidity",None declared,White powder,"Emulsifying Salt manufactured by Essential Elements for Food Perfection, used in meat products, cheese, bakery."
48,Phos CR116,Phos CR116,Meat & Poultry,Poultry Processing & Sausages,Injected Chicken / Turkey Breasts & Sausages,"Increases muscle protein ionic strength and pH, maximizing brine retention, reducing cooking purge, and enhancing sausage snap.",No,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Meat & Poultry ➔ Poultry Processing & Sausages ➔ Injected Chicken / Turkey Breasts & Sausages | [TDS Status]: Fully verified against authentic Technical Data Sheet (Phos CR116-TDS.pdf).,Single Product,None,Phos CR116-TDS.pdf,Emulsifying Salt,AWA Food Additives,Turkphos,approx. 1.5 - 2% calculated on processed raw material,2 years from date of production,pH: 7.1 ± 0.3; pH shift: +0.1/+0.3; ion exchange capacity: Very strong; buffering capacity: Medium strong; moisture: Max 3%; p: 28.3% ±1,"Sodium polyphosphates E452, Sodium citrate E331","Paper sacks with polyethylene liner, 25 Kg","Cool and dry conditions, Protect from humidity",None declared,White powder,"Emulsifying Salt manufactured by Essential Elements for Food Perfection, used in meat products, cheese, bakery."
49,Phos CR120,Phos CR120,Meat & Poultry,Poultry Processing & Sausages,Injected Chicken / Turkey Breasts & Sausages,"Increases muscle protein ionic strength and pH, maximizing brine retention, reducing cooking purge, and enhancing sausage snap.",No,Yes,R&D Validated,Approved (TDS Verified),[Taxonomy Aligned]: Meat & Poultry ➔ Poultry Processing & Sausages ➔ Injected Chicken / Turkey Breasts & Sausages | [TDS Status]: Fully verified against authentic Technical Data Sheet (Phos CR120-TDS.pdf).,Single Product,None,Phos CR120-TDS.pdf,Stabilizer,AWA Food Additives,Turkphos,1.5 - 2% calculated on processed raw material,2 years from date of production,pH: 7.7 ± 0.3; P2O5: 61% ± 1; moisture: Max 3%; pH-shift: +0.1/+0.2; ion exchange capacity: Medium strong; creaming action: Slight; buffering capacity: Medium strong,"Sodium polyphosphates E452, Sodium orthohosphate E339",Paper sacks with polyethylene liner 25 Kg.,Should be stored under cool and dry conditions. (protect from humidity),None declared,White powder,"Stabilizer manufactured by Essential Elements for Food Perfection, used in cream cheese, (Thermized fresh cheese)."
